Statute,Document Link,state
Section 460.840,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-840&highlight=energy&queryID=170095218,Michigan
Section 559.303,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-559-303&highlight=energy&queryID=170095218,Michigan
Section 257.629b,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-257-629b&highlight=energy&queryID=170095218,Michigan
Section 18.1722,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-18-1722&highlight=energy&queryID=170095218,Michigan
Section 460.1001,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1001&highlight=energy&queryID=170095218,Michigan
Section 460.10t,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-10t&highlight=energy&queryID=170095218,Michigan
Section 460.1149,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1149&highlight=energy&queryID=170095218,Michigan
Section 750.282a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-750-282a&highlight=energy&queryID=170095218,Michigan
Section 290.649b,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-290-649b&highlight=energy&queryID=170095218,Michigan
Section 460.1003,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1003&highlight=energy&queryID=170095218,Michigan
Section 125.1995,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-1995&highlight=energy&queryID=170095218,Michigan
Section 777.16b,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-777-16b&highlight=energy&queryID=170095218,Michigan
Section 18.1711,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-18-1711&highlight=energy&queryID=170095218,Michigan
Section 141.1321a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-141-1321a&highlight=energy&queryID=170095218,Michigan
Section 290.649d,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-290-649d&highlight=energy&queryID=170095218,Michigan
Section 460.804,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-804&highlight=energy&queryID=170095218,Michigan
Section 460.949,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-949&highlight=energy&queryID=170095218,Michigan
Section 21.142b,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-21-142b&highlight=energy&queryID=170095218,Michigan
Section 400.1156,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-400-1156&highlight=energy&queryID=170095218,Michigan
Section 211.9j,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-211-9j&highlight=energy&queryID=170095218,Michigan
Section 207.559,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-207-559&highlight=energy&queryID=170095218,Michigan
Section 460.6v,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-6v&highlight=energy&queryID=170095218,Michigan
Section 324.8307f,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-8307f&highlight=energy&queryID=170095218,Michigan
Section 750.305a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-750-305a&highlight=energy&queryID=170095218,Michigan
